1	1992
2	1992
3	1992
4	1993
5	1993
6	1993
7	1993
8	1993
9	1993
10	1993
11	1993
12	1993
13	1993
14	1993
15	1994
16	1994
17	1994
18	1994
19	1994
20	1994
21	1994
22	1994
23	1994
24	1994
25	1994
26	1994
27	1994
28	1994
29	1994
30	1994
31	1994
32	1994
33	1994
34	1994
35	1994
36	1994
37	1994
38	1994
39	1994
41	1994
184	1994
185	1994
190	1994
42	1995
43	1995
44	1995
45	1995
46	1995
47	1995
48	1995
49	1995
50	1995
51	1995
52	1995
53	1995
54	1995
55	1995
56	1995
57	1995
58	1995
59	1995
60	1995
61	1995
62	1995
63	1995
191	1995
192	1995
76	1997
77	1997
78	1997
79	1997
80	1997
81	1997
82	1997
83	1997
84	1997
85	1997
86	1997
87	1997
88	1997
89	1997
90	1997
91	1997
92	1997
93	1997
94	1997
95	1997
96	1997
97	1997
186	1997
98	1998
99	1998
100	1998
101	1998
102	1998
103	1998
104	1998
105	1998
106	1998
107	1998
108	1998
109	1998
110	1998
111	1998
112	1998
113	1998
114	1998
115	1998
116	1998
117	1998
118	1998
119	1998
120	1998
121	1998
122	1998
177	1998
179	1998
183	1998
187	1998
189	1998
123	1999
124	1999
125	1999
126	1999
127	1999
128	1999
129	1999
130	1999
131	1999
132	1999
133	1999
134	1999
135	1999
136	1999
137	1999
138	1999
139	1999
140	1999
141	1999
142	1999
143	1999
144	1999
145	1999
146	1999
147	1999
148	1999
149	1999
150	1999
151	1999
152	1999
188	1999
153	2000
154	2000
155	2000
156	2000
157	2000
158	2000
161	2000
162	2000
163	2000
164	2000
165	2000
166	2000
167	2000
168	2000
169	2000
170	2000
171	2000
172	2000
173	2000
174	2000
175	2000
176	2000
178	2000
180	2000
181	2000
182	2000
